[Tue Jan 12 19:01:49.862752 2016] [:error] [pid 1866] [client 127.0.0.1:52667] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:49.862827 2016] [:error] [pid 1866] [client 127.0.0.1:52667] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:03:04.516887 2016] [:error] [pid 4243] [client 127.0.0.1:52672] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:03:04.518788 2016] [:error] [pid 4243] [client 127.0.0.1:52672] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:03:04.518895 2016] [:error] [pid 4243] [client 127.0.0.1:52672] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:03:04.518977 2016] [:error] [pid 4243] [client 127.0.0.1:52672] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:03:04.519028 2016] [:error] [pid 4243] [client 127.0.0.1:52672] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:03:04.519067 2016] [:error] [pid 4243] [client 127.0.0.1:52672] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:04:33.859522 2016] [:error] [pid 1869] [client 127.0.0.1:52677] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:04:33.861110 2016] [:error] [pid 1869] [client 127.0.0.1:52677] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:04:33.861179 2016] [:error] [pid 1869] [client 127.0.0.1:52677] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:04:33.861221 2016] [:error] [pid 1869] [client 127.0.0.1:52677] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:04:33.861276 2016] [:error] [pid 1869] [client 127.0.0.1:52677] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:04:33.861314 2016] [:error] [pid 1869] [client 127.0.0.1:52677] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:05:37.474764 2016] [:error] [pid 4489] [client 127.0.0.1:52682] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:05:37.477549 2016] [:error] [pid 4489] [client 127.0.0.1:52682] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:05:37.477639 2016] [:error] [pid 4489] [client 127.0.0.1:52682] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:05:37.477704 2016] [:error] [pid 4489] [client 127.0.0.1:52682] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:05:37.477764 2016] [:error] [pid 4489] [client 127.0.0.1:52682] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:05:37.477829 2016] [:error] [pid 4489] [client 127.0.0.1:52682] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:06:53.849770 2016] [:error] [pid 3441] [client 127.0.0.1:52686] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:06:53.851509 2016] [:error] [pid 3441] [client 127.0.0.1:52686] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:06:53.851617 2016] [:error] [pid 3441] [client 127.0.0.1:52686] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:06:53.851699 2016] [:error] [pid 3441] [client 127.0.0.1:52686] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:06:53.851788 2016] [:error] [pid 3441] [client 127.0.0.1:52686] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:06:53.851856 2016] [:error] [pid 3441] [client 127.0.0.1:52686] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
